event type,event date,doctor's name,dog's name,notes,dogs descriptive condition
birth,2024-06-07,Dr. Patel,Dog_1,Urgent care,Sick and under treatment
vaccination,2024-08-24,Dr. Brown,Dog_1,Urgent care,Recovering from illness
grooming,2024-12-29,Dr. Lee,Dog_1,Vaccination record,Energetic and young
vaccination,2025-03-20,Dr. Patel,Dog_1,Grooming session,Deceased
death,2025-05-12,Dr. Lee,Dog_1,Urgent care,In good condition
birth,2022-05-12,Dr. Smith,Dog_2,Vaccination record,Healthy and playful
vaccination,2022-08-04,Dr. Patel,Dog_2,Follow-up needed,Recovering from illness
grooming,2022-10-22,Dr. Brown,Dog_2,Follow-up needed,Needs special care
vaccination,2023-01-01,Dr. Smith,Dog_2,Urgent care,Needs special care
death,2024-04-21,Dr. Patel,Dog_2,Grooming session,Energetic and young
birth,2021-11-27,Dr. Patel,Dog_3,Vaccination record,Needs special care
vaccination,2022-07-02,Dr. Smith,Dog_3,,Energetic and young
grooming,2022-10-30,Dr. Johnson,Dog_3,Vaccination record,Healthy and playful
vaccination,2023-01-03,Dr. Brown,Dog_3,Follow-up needed,Old and calm
death,2024-01-10,Dr. Brown,Dog_3,Follow-up needed,Deceased
birth,2021-12-04,Dr. Johnson,Dog_4,,Abandoned and rescued
vaccination,2022-07-07,Dr. Patel,Dog_4,Follow-up needed,In good condition
grooming,2022-08-22,Dr. Brown,Dog_4,Grooming session,Abandoned and rescued
vaccination,2023-01-30,Dr. Smith,Dog_4,,Needs special care
death,2024-06-01,Dr. Smith,Dog_4,Routine check,Abandoned and rescued
birth,2022-11-05,Dr. Smith,Dog_5,Vaccination record,Recovering from illness
vaccination,2023-11-03,Dr. Johnson,Dog_5,Urgent care,Needs special care
grooming,2023-12-25,Dr. Johnson,Dog_5,Follow-up needed,Old and calm
vaccination,2024-06-26,Dr. Lee,Dog_5,Urgent care,Energetic and young
death,2024-10-14,Dr. Brown,Dog_5,Vaccination record,Deceased
birth,2024-01-21,Dr. Patel,Dog_6,Follow-up needed,Sick and under treatment
vaccination,2024-11-25,Dr. Patel,Dog_6,Vaccination record,Healthy and playful
grooming,2025-01-20,Dr. Brown,Dog_6,Urgent care,Old and calm
vaccination,2025-02-26,Dr. Brown,Dog_6,Routine check,Recently vaccinated
death,2025-07-10,Dr. Smith,Dog_6,Urgent care,Recovering from illness
birth,2023-10-28,Dr. Smith,Dog_7,Grooming session,Needs special care
vaccination,2024-07-20,Dr. Patel,Dog_7,Routine check,Energetic and young
grooming,2024-10-21,Dr. Brown,Dog_7,Routine check,Recently vaccinated
vaccination,2025-09-20,Dr. Smith,Dog_7,Follow-up needed,Healthy and playful
death,2027-01-24,Dr. Brown,Dog_7,Routine check,Energetic and young
birth,2022-09-27,Dr. Johnson,Dog_8,Follow-up needed,Recovering from illness
vaccination,2023-06-25,Dr. Johnson,Dog_8,Grooming session,Recovering from illness
grooming,2023-10-19,Dr. Lee,Dog_8,Routine check,Needs special care
vaccination,2024-08-03,Dr. Brown,Dog_8,Vaccination record,Old and calm
death,2025-05-07,Dr. Lee,Dog_8,Grooming session,In good condition
birth,2020-01-30,Dr. Johnson,Dog_9,Follow-up needed,Old and calm
vaccination,2020-06-01,Dr. Patel,Dog_9,Follow-up needed,Recently vaccinated
grooming,2020-07-07,Dr. Lee,Dog_9,Urgent care,Old and calm
vaccination,2021-02-02,Dr. Brown,Dog_9,Follow-up needed,In good condition
death,2021-12-28,Dr. Smith,Dog_9,Urgent care,Deceased
birth,2022-08-06,Dr. Brown,Dog_10,,Recently vaccinated
vaccination,2023-04-14,Dr. Brown,Dog_10,Grooming session,Deceased
grooming,2023-07-05,Dr. Johnson,Dog_10,Vaccination record,Needs special care
vaccination,2023-08-20,Dr. Smith,Dog_10,Urgent care,In good condition
death,2024-04-27,Dr. Patel,Dog_10,Routine check,Energetic and young
birth,2021-11-13,Dr. Lee,Dog_11,Vaccination record,Recovering from illness
vaccination,2022-03-16,Dr. Johnson,Dog_11,Follow-up needed,Healthy and playful
grooming,2022-04-19,Dr. Brown,Dog_11,Routine check,Deceased
vaccination,2023-04-18,Dr. Brown,Dog_11,Grooming session,Energetic and young
death,2023-07-11,Dr. Lee,Dog_11,Vaccination record,Needs special care
birth,2023-12-23,Dr. Lee,Dog_12,,Healthy and playful
vaccination,2024-06-17,Dr. Lee,Dog_12,Vaccination record,Healthy and playful
grooming,2024-08-28,Dr. Johnson,Dog_12,,Healthy and playful
vaccination,2025-07-12,Dr. Brown,Dog_12,Grooming session,Recently vaccinated
death,2027-05-14,Dr. Smith,Dog_12,Vaccination record,Recently vaccinated
birth,2021-02-01,Dr. Lee,Dog_13,Routine check,Deceased
vaccination,2021-11-30,Dr. Brown,Dog_13,,Energetic and young
grooming,2022-02-27,Dr. Patel,Dog_13,Vaccination record,Deceased
vaccination,2022-08-09,Dr. Johnson,Dog_13,Grooming session,Deceased
death,2023-04-01,Dr. Brown,Dog_13,Urgent care,Recently vaccinated
birth,2020-02-20,Dr. Smith,Dog_14,Vaccination record,Deceased
vaccination,2020-11-29,Dr. Smith,Dog_14,Vaccination record,Old and calm
grooming,2021-01-18,Dr. Johnson,Dog_14,Routine check,Abandoned and rescued
vaccination,2021-06-09,Dr. Smith,Dog_14,Routine check,In good condition
death,2021-07-29,Dr. Brown,Dog_14,Grooming session,Recovering from illness
birth,2020-05-22,Dr. Patel,Dog_15,Routine check,Energetic and young
vaccination,2021-01-31,Dr. Smith,Dog_15,Grooming session,Healthy and playful
grooming,2021-05-02,Dr. Smith,Dog_15,Vaccination record,Deceased
vaccination,2021-09-02,Dr. Lee,Dog_15,,Recovering from illness
death,2023-02-08,Dr. Patel,Dog_15,Urgent care,Abandoned and rescued
birth,2021-11-01,Dr. Brown,Dog_16,Follow-up needed,Energetic and young
vaccination,2022-07-30,Dr. Patel,Dog_16,Routine check,Recently vaccinated
grooming,2022-10-01,Dr. Johnson,Dog_16,Grooming session,Needs special care
vaccination,2023-09-09,Dr. Lee,Dog_16,Routine check,In good condition
death,2025-01-20,Dr. Lee,Dog_16,Follow-up needed,Recently vaccinated
birth,2023-08-19,Dr. Brown,Dog_17,Vaccination record,In good condition
vaccination,2024-07-04,Dr. Patel,Dog_17,Vaccination record,Recently vaccinated
grooming,2024-08-04,Dr. Patel,Dog_17,Routine check,Old and calm
vaccination,2024-12-31,Dr. Lee,Dog_17,,Abandoned and rescued
death,2026-09-24,Dr. Johnson,Dog_17,Routine check,Abandoned and rescued
birth,2021-12-03,Dr. Patel,Dog_18,Urgent care,Sick and under treatment
vaccination,2022-02-27,Dr. Johnson,Dog_18,Grooming session,In good condition
grooming,2022-06-16,Dr. Johnson,Dog_18,,Sick and under treatment
vaccination,2023-01-03,Dr. Johnson,Dog_18,Routine check,Recovering from illness
death,2024-09-19,Dr. Smith,Dog_18,,Old and calm
birth,2020-09-24,Dr. Patel,Dog_19,Follow-up needed,Recently vaccinated
vaccination,2021-05-29,Dr. Lee,Dog_19,Follow-up needed,Deceased
grooming,2021-10-19,Dr. Patel,Dog_19,Vaccination record,Recently vaccinated
vaccination,2022-03-12,Dr. Smith,Dog_19,,Healthy and playful
death,2023-10-09,Dr. Johnson,Dog_19,,Recently vaccinated
birth,2024-07-26,Dr. Smith,Dog_20,Routine check,Energetic and young
vaccination,2024-10-08,Dr. Patel,Dog_20,Grooming session,Old and calm
grooming,2025-01-14,Dr. Lee,Dog_20,Follow-up needed,Healthy and playful
vaccination,2026-01-14,Dr. Brown,Dog_20,Routine check,Sick and under treatment
death,2028-01-13,Dr. Johnson,Dog_20,Urgent care,Deceased
birth,2024-03-14,Dr. Smith,Dog_21,Follow-up needed,Abandoned and rescued
vaccination,2024-08-15,Dr. Patel,Dog_21,Urgent care,Old and calm
grooming,2024-10-25,Dr. Smith,Dog_21,,Abandoned and rescued
vaccination,2025-01-02,Dr. Smith,Dog_21,Grooming session,Sick and under treatment
death,2025-09-21,Dr. Patel,Dog_21,Routine check,Recently vaccinated
birth,2022-03-23,Dr. Patel,Dog_22,Routine check,Abandoned and rescued
vaccination,2022-06-19,Dr. Smith,Dog_22,Urgent care,Sick and under treatment
grooming,2022-07-30,Dr. Johnson,Dog_22,,Deceased
vaccination,2023-05-04,Dr. Lee,Dog_22,Grooming session,In good condition
death,2024-07-08,Dr. Patel,Dog_22,,Energetic and young
birth,2021-01-24,Dr. Brown,Dog_23,Grooming session,Deceased
vaccination,2021-05-04,Dr. Smith,Dog_23,Routine check,Energetic and young
grooming,2021-08-29,Dr. Brown,Dog_23,Urgent care,Recovering from illness
vaccination,2021-10-26,Dr. Smith,Dog_23,Routine check,Recovering from illness
death,2022-04-22,Dr. Brown,Dog_23,Grooming session,Healthy and playful
birth,2021-04-30,Dr. Brown,Dog_24,Follow-up needed,In good condition
vaccination,2022-02-17,Dr. Brown,Dog_24,Grooming session,Needs special care
grooming,2022-04-23,Dr. Lee,Dog_24,Grooming session,Old and calm
vaccination,2022-06-21,Dr. Lee,Dog_24,Urgent care,Abandoned and rescued
death,2023-07-14,Dr. Lee,Dog_24,Follow-up needed,Healthy and playful
birth,2023-03-06,Dr. Patel,Dog_25,Vaccination record,Recently vaccinated
vaccination,2024-02-08,Dr. Brown,Dog_25,Vaccination record,Recently vaccinated
grooming,2024-04-04,Dr. Patel,Dog_25,Routine check,Abandoned and rescued
vaccination,2024-09-25,Dr. Smith,Dog_25,Follow-up needed,Energetic and young
death,2024-11-04,Dr. Johnson,Dog_25,,Healthy and playful
birth,2024-07-19,Dr. Patel,Dog_26,Routine check,Healthy and playful
